-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::conv2d         0.14%       1.466ms         2.40%      25.869ms     170.190us       0.000us         0.00%        1.214s       7.987ms           0 b           0 b      35.80 Gb    -327.84 Mb           152  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us        1.076s       100.06%        1.076s     269.058ms           0 b           0 b           0 b           0 b             4  
                                          ProfilerStep*         1.61%      17.401ms       100.00%        1.079s     269.846ms       0.000us         0.00%        1.076s     268.904ms           0 b           0 b           0 b     -54.57 Gb             4  
                                      aten::convolution         0.08%     847.849us         1.26%      13.619ms     148.029us       0.000us         0.00%     699.588ms       7.604ms           0 b           0 b      22.28 Gb           0 b            92  
                                     aten::_convolution         0.17%       1.803ms         1.18%      12.771ms     138.813us       0.000us         0.00%     699.588ms       7.604ms           0 b           0 b      22.28 Gb           0 b            92  
                                aten::cudnn_convolution         0.46%       4.954ms         0.73%       7.850ms     103.292us     605.175ms        56.26%     605.175ms       7.963ms           0 b           0 b      17.90 Gb      17.90 Gb            76  
                                 aten::conv_transpose2d         0.06%     634.096us         0.90%       9.762ms     305.059us       0.000us         0.00%     188.136ms       5.879ms           0 b           0 b       8.75 Gb     -21.26 Mb            32  
void cudnn::engines_precompiled::nchwToNhwcKernel<__...         0.00%       0.000us         0.00%       0.000us       0.000us     120.032ms        11.16%     120.032ms     750.202us           0 b           0 b           0 b           0 b           160  
                                       aten::batch_norm         0.03%     345.212us         0.73%       7.926ms     110.082us       0.000us         0.00%     105.307ms       1.463ms           0 b           0 b      17.83 Gb           0 b            72  
                           aten::_batch_norm_impl_index         0.04%     447.100us         0.70%       7.581ms     105.287us       0.000us         0.00%     105.307ms       1.463ms           0 b           0 b      17.83 Gb           0 b            72  
                                 aten::cudnn_batch_norm         0.26%       2.849ms         0.66%       7.134ms      99.078us     105.307ms         9.79%     105.307ms       1.463ms           0 b           0 b      17.83 Gb           0 b            72  
void cudnn::bn_fw_inf_1C11_kernel_NCHW<__half, float...         0.00%       0.000us         0.00%       0.000us       0.000us     105.307ms         9.79%     105.307ms       1.463ms           0 b           0 b           0 b           0 b            72  
                                            aten::relu_         0.05%     582.649us         0.21%       2.292ms      31.829us       0.000us         0.00%      98.559ms       1.369ms           0 b           0 b           0 b           0 b            72  
                                       aten::clamp_min_         0.09%     976.127us         0.16%       1.709ms      23.737us      98.559ms         9.16%      98.559ms       1.369ms           0 b           0 b           0 b           0 b            72  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      98.559ms         9.16%      98.559ms       1.369ms           0 b           0 b           0 b           0 b            72  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_f16_...         0.00%       0.000us         0.00%       0.000us       0.000us      97.551ms         9.07%      97.551ms       4.878ms           0 b           0 b           0 b           0 b            20  
void cudnn::engines_precompiled::nhwcToNchwKernel<__...         0.00%       0.000us         0.00%       0.000us       0.000us      89.065ms         8.28%      89.065ms       1.172ms           0 b           0 b           0 b           0 b            76  
                                              aten::cat         0.05%     523.148us         0.07%     702.130us      43.883us      67.460ms         6.27%      67.460ms       4.216ms           0 b           0 b       8.77 Gb       8.77 Gb            16  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      67.460ms         6.27%      67.460ms       4.216ms           0 b           0 b           0 b           0 b            16  
                      aten::cudnn_convolution_transpose         0.11%       1.162ms         0.22%       2.411ms     150.665us      66.515ms         6.18%      66.515ms       4.157ms           0 b           0 b       4.38 Gb       4.38 Gb            16  
                                            aten::copy_         0.15%       1.647ms         0.32%       3.479ms      25.584us      65.781ms         6.12%      65.781ms     483.686us           0 b           0 b           0 b           0 b           136  
sm80_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwc...         0.00%       0.000us         0.00%       0.000us       0.000us      52.034ms         4.84%      52.034ms       4.336ms           0 b           0 b           0 b           0 b            12  
sm86_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwc...         0.00%       0.000us         0.00%       0.000us       0.000us      50.173ms         4.66%      50.173ms       6.272ms           0 b           0 b           0 b           0 b             8  
sm86_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwc...         0.00%       0.000us         0.00%       0.000us       0.000us      48.175ms         4.48%      48.175ms       4.015ms           0 b           0 b           0 b           0 b            12  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_f16_...         0.00%       0.000us         0.00%       0.000us       0.000us      46.461ms         4.32%      46.461ms      11.615ms           0 b           0 b           0 b           0 b             4  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.079s
Self CUDA time total: 1.076s
