-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::conv2d         0.13%       1.391ms         2.51%      27.339ms     179.861us       0.000us         0.00%        1.229s       8.087ms           0 b           0 b      35.80 Gb    -327.84 Mb           152  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us        1.085s       100.06%        1.085s     271.151ms           0 b           0 b           0 b           0 b             4  
                                          ProfilerStep*         1.93%      20.984ms       100.00%        1.089s     272.311ms       0.000us         0.00%        1.084s     270.994ms           0 b           0 b           0 b     -54.57 Gb             4  
                                      aten::convolution         0.07%     810.503us         1.27%      13.798ms     149.983us       0.000us         0.00%     707.934ms       7.695ms           0 b           0 b      22.28 Gb           0 b            92  
                                     aten::_convolution         0.11%       1.176ms         1.19%      12.988ms     141.173us       0.000us         0.00%     707.934ms       7.695ms           0 b           0 b      22.28 Gb           0 b            92  
                                aten::cudnn_convolution         0.51%       5.538ms         0.81%       8.804ms     115.843us     612.749ms        56.53%     612.749ms       8.062ms           0 b           0 b      17.90 Gb      17.90 Gb            76  
                                 aten::conv_transpose2d         0.03%     364.580us         0.78%       8.546ms     267.072us       0.000us         0.00%     189.678ms       5.927ms           0 b           0 b       8.75 Gb     -21.26 Mb            32  
void cudnn::engines_precompiled::nchwToNhwcKernel<__...         0.00%       0.000us         0.00%       0.000us       0.000us     120.114ms        11.08%     120.114ms     750.711us           0 b           0 b           0 b           0 b           160  
                                       aten::batch_norm         0.04%     384.650us         0.75%       8.181ms     113.627us       0.000us         0.00%     105.390ms       1.464ms           0 b           0 b      17.83 Gb           0 b            72  
                           aten::_batch_norm_impl_index         0.04%     477.601us         0.72%       7.796ms     108.285us       0.000us         0.00%     105.390ms       1.464ms           0 b           0 b      17.83 Gb           0 b            72  
                                 aten::cudnn_batch_norm         0.28%       3.061ms         0.67%       7.319ms     101.651us     105.390ms         9.72%     105.390ms       1.464ms           0 b           0 b      17.83 Gb           0 b            72  
void cudnn::bn_fw_inf_1C11_kernel_NCHW<__half, float...         0.00%       0.000us         0.00%       0.000us       0.000us     105.390ms         9.72%     105.390ms       1.464ms           0 b           0 b           0 b           0 b            72  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_f16_...         0.00%       0.000us         0.00%       0.000us       0.000us      99.122ms         9.14%      99.122ms       4.956ms           0 b           0 b           0 b           0 b            20  
                                            aten::relu_         0.06%     634.939us         0.23%       2.550ms      35.416us       0.000us         0.00%      98.551ms       1.369ms           0 b           0 b           0 b           0 b            72  
                                       aten::clamp_min_         0.10%       1.076ms         0.18%       1.915ms      26.598us      98.551ms         9.09%      98.551ms       1.369ms           0 b           0 b           0 b           0 b            72  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      98.551ms         9.09%      98.551ms       1.369ms           0 b           0 b           0 b           0 b            72  
void cudnn::engines_precompiled::nhwcToNchwKernel<__...         0.00%       0.000us         0.00%       0.000us       0.000us      89.072ms         8.22%      89.072ms       1.172ms           0 b           0 b           0 b           0 b            76  
                                              aten::cat         0.05%     565.625us         0.07%     771.807us      48.238us      67.433ms         6.22%      67.433ms       4.215ms           0 b           0 b       8.77 Gb       8.77 Gb            16  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      67.433ms         6.22%      67.433ms       4.215ms           0 b           0 b           0 b           0 b            16  
                      aten::cudnn_convolution_transpose         0.12%       1.256ms         0.21%       2.259ms     141.199us      67.147ms         6.19%      67.147ms       4.197ms           0 b           0 b       4.38 Gb       4.38 Gb            16  
                                            aten::copy_         0.17%       1.880ms         0.33%       3.646ms      26.810us      65.730ms         6.06%      65.730ms     483.308us           0 b           0 b           0 b           0 b           136  
sm80_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwc...         0.00%       0.000us         0.00%       0.000us       0.000us      53.013ms         4.89%      53.013ms       4.418ms           0 b           0 b           0 b           0 b            12  
sm86_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwc...         0.00%       0.000us         0.00%       0.000us       0.000us      51.544ms         4.76%      51.544ms       6.443ms           0 b           0 b           0 b           0 b             8  
sm86_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwc...         0.00%       0.000us         0.00%       0.000us       0.000us      49.403ms         4.56%      49.403ms       4.117ms           0 b           0 b           0 b           0 b            12  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_f16_...         0.00%       0.000us         0.00%       0.000us       0.000us      46.886ms         4.33%      46.886ms      11.721ms           0 b           0 b           0 b           0 b             4  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.089s
Self CUDA time total: 1.084s
