-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::conv2d         0.10%       1.057ms         1.83%      19.777ms     130.110us       0.000us         0.00%        1.218s       8.012ms           0 b           0 b      35.80 Gb    -327.84 Mb           152  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us        1.078s       100.06%        1.078s     269.526ms           0 b           0 b           0 b           0 b             4  
                                          ProfilerStep*         1.29%      13.947ms       100.00%        1.081s     270.308ms       0.000us         0.00%        1.077s     269.369ms           0 b           0 b           0 b     -54.57 Gb             4  
                                      aten::convolution         0.05%     581.474us         0.91%       9.859ms     107.165us       0.000us         0.00%     701.550ms       7.626ms           0 b           0 b      22.28 Gb           0 b            92  
                                     aten::_convolution         0.08%     916.298us         0.86%       9.278ms     100.845us       0.000us         0.00%     701.550ms       7.626ms           0 b           0 b      22.28 Gb           0 b            92  
                                aten::cudnn_convolution         0.37%       4.046ms         0.58%       6.240ms      82.099us     607.067ms        56.34%     607.067ms       7.988ms           0 b           0 b      17.90 Gb      17.90 Gb            76  
                                 aten::conv_transpose2d         0.03%     301.846us         0.56%       6.050ms     189.056us       0.000us         0.00%     188.265ms       5.883ms           0 b           0 b       8.75 Gb     -21.26 Mb            32  
void cudnn::engines_precompiled::nchwToNhwcKernel<__...         0.00%       0.000us         0.00%       0.000us       0.000us     120.019ms        11.14%     120.019ms     750.120us           0 b           0 b           0 b           0 b           160  
                                       aten::batch_norm         0.02%     269.440us         0.53%       5.680ms      78.896us       0.000us         0.00%     105.416ms       1.464ms           0 b           0 b      17.83 Gb           0 b            72  
                           aten::_batch_norm_impl_index         0.03%     346.024us         0.50%       5.411ms      75.154us       0.000us         0.00%     105.416ms       1.464ms           0 b           0 b      17.83 Gb           0 b            72  
                                 aten::cudnn_batch_norm         0.20%       2.207ms         0.47%       5.065ms      70.348us     105.416ms         9.78%     105.416ms       1.464ms           0 b           0 b      17.83 Gb           0 b            72  
void cudnn::bn_fw_inf_1C11_kernel_NCHW<__half, float...         0.00%       0.000us         0.00%       0.000us       0.000us     105.416ms         9.78%     105.416ms       1.464ms           0 b           0 b           0 b           0 b            72  
                                            aten::relu_         0.04%     457.229us         0.17%       1.811ms      25.150us       0.000us         0.00%      98.595ms       1.369ms           0 b           0 b           0 b           0 b            72  
                                       aten::clamp_min_         0.07%     786.668us         0.13%       1.354ms      18.799us      98.595ms         9.15%      98.595ms       1.369ms           0 b           0 b           0 b           0 b            72  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      98.595ms         9.15%      98.595ms       1.369ms           0 b           0 b           0 b           0 b            72  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_f16_...         0.00%       0.000us         0.00%       0.000us       0.000us      98.364ms         9.13%      98.364ms       4.918ms           0 b           0 b           0 b           0 b            20  
void cudnn::engines_precompiled::nhwcToNchwKernel<__...         0.00%       0.000us         0.00%       0.000us       0.000us      89.079ms         8.27%      89.079ms       1.172ms           0 b           0 b           0 b           0 b            76  
                                              aten::cat         0.03%     359.357us         0.05%     498.758us      31.172us      67.250ms         6.24%      67.250ms       4.203ms           0 b           0 b       8.77 Gb       8.77 Gb            16  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      67.250ms         6.24%      67.250ms       4.203ms           0 b           0 b           0 b           0 b            16  
                      aten::cudnn_convolution_transpose         0.08%     890.068us         0.15%       1.595ms      99.659us      66.576ms         6.18%      66.576ms       4.161ms           0 b           0 b       4.38 Gb       4.38 Gb            16  
                                            aten::copy_         0.13%       1.414ms         0.25%       2.666ms      19.604us      65.651ms         6.09%      65.651ms     482.726us           0 b           0 b           0 b           0 b           136  
sm80_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwc...         0.00%       0.000us         0.00%       0.000us       0.000us      52.387ms         4.86%      52.387ms       4.366ms           0 b           0 b           0 b           0 b            12  
sm86_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwc...         0.00%       0.000us         0.00%       0.000us       0.000us      50.056ms         4.65%      50.056ms       6.257ms           0 b           0 b           0 b           0 b             8  
sm86_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwc...         0.00%       0.000us         0.00%       0.000us       0.000us      48.555ms         4.51%      48.555ms       4.046ms           0 b           0 b           0 b           0 b            12  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_f16_...         0.00%       0.000us         0.00%       0.000us       0.000us      47.100ms         4.37%      47.100ms      11.775ms           0 b           0 b           0 b           0 b             4  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.081s
Self CUDA time total: 1.077s
