method,batch_size,sparsity,ms_per_img,dice
2to4,2,0.4999969057172032,34.20988615776878,0.03067784197628498
baseline_fp16,2,0.0,34.76426236331463,0.9911892414093018
magnitude@0.3,2,0.3,34.409944873768836,0.9910003542900085
magnitude@0.5,2,0.5,34.097780698211864,0.9909098148345947
magnitude@0.7,2,0.7,34.124068776727654,0.9824939966201782
magnitude@0.9,2,0.9,33.91745080065448,0.10767953097820282
structured@0.25,2,0.24999896857240106,34.35496775666252,0.0
structured@0.50,2,0.5,34.34827336866874,0.0
2to4,4,0.4999969057172032,70.37630803359207,0.030677687376737595
baseline_fp16,4,0.0,34.57272868079599,0.9911892414093018
magnitude@0.3,4,0.3,33.966471113380976,0.9910000562667847
magnitude@0.5,4,0.5,35.82472397945821,0.9909095764160156
magnitude@0.7,4,0.7,69.19315937208012,0.9824938774108887
magnitude@0.9,4,0.9,69.40518974675797,0.10767952352762222
structured@0.25,4,0.24999896857240106,70.57918821461499,0.0
structured@0.50,4,0.5,57.41311304969713,0.0
2to4,8,0.4999969057172032,39.62020992534235,0.03067810647189617
baseline_fp16,8,0.0,37.24201880278997,0.9911892414093018
magnitude@0.3,8,0.3,68.50896562333219,0.9910004138946533
magnitude@0.5,8,0.5,68.6062997917179,0.9909098148345947
magnitude@0.7,8,0.7,68.42553291586228,0.9824938178062439
magnitude@0.9,8,0.9,68.01142582669854,0.1076790913939476
structured@0.25,8,0.24999896857240106,53.59485010965727,0.0
structured@0.50,8,0.5,68.38040999718942,0.0
